atNo	atNo2	atNoSelfTest	atNoSelfTest2	idNo	idNo2	idNo3	manufacturer	testName	targetAntigen	cqLow	cqMid	cqHigh	totalSensitivity	passedSensitivityCriteria	omicronDetection
AT972/21				BSK01S1S			Hangzhou Bioer Technology Co., Ltd.	BIOflux SARS-CoV-2 Antigen Test Kit (colloidal gold method)	N	60,00%	0,00%	0,00%	24,00%	n	n
AT041/20				INCP-C81-20			Hangzhou Biotest Biotech Co., Ltd.	Lumiratek SARS-CoV-2 Antigen Rapid Test Cassette	N	29,40%	0,00%	0,00%	10,00%	n	n
AT662/21							Hangzhou Fanttest Biotech Co.,Ltd.	Fanttest Novel Coronavirus(SARS-CoV-2) Antigen Rapid Test Cassette	N	0,00%	0,00%	0,00%	0,00%	n	n
AT015/20				K511416D			Hangzhou Realy Tech Co., Ltd.	Novel Coronavirus (SARS-Cov-2) Antigen Rapid Test Cassette (swab)		58,80%	0,00%	0,00%	20,00%	n	n
AT088/21				K590516D			Hangzhou Realy Tech Co., Ltd.	Heinzer Antigen Covid19 Spucktest Schnelltest [Original Name: Novel Coronavirus (SARS-CoV-2) Antigen Rapid Test Device (saliva)]	N+S	65,00%	5,00%	0,00%	28,00%	n	n
AT437/21							Hangzhou Singclean Medical Products Co., Ltd.	COVID-19 Test Kit (Colloidal Gold Method)	N	0,00%	0,00%	0,00%	0,00%	n	n
AT160/20				P211134			Hangzhou Genesis Biocontrol Co., Ltd	KaiBiLi COVID-19 Antigen Rapid Test Device	N	52,90%	0,00%	0,00%	18,00%	n	n
AT139/20				BCOV-502			Inzek International Trading B.V	BIOZEK COVID-19-Antigen-Schnelltestkassette		52,90%	0,00%	0,00%	18,00%	n	n
AT178/20							Joinstar Biomedical Technology Co., Ltd	COVID-19 Antigen Rapid Test (Latex)	S	0,00%	0,00%	0,00%	0,00%	n	n
AT046/20				G10313			Joysbio (Tianjin) Biotechnology Co., Ltd.	Joysbio SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold)	N	47,10%	4,30%	0,00%	18,00%	n	n
AT487/21				NCV11			Koch Biotechnology (Beijing) Co., Ltd.	COVID-19 Antigen Rapid Test Kit	N	60,00%	0,00%	0,00%	24,00%	n	n
AT684/21							LiClear Biotech (Hangzhou) Co., Ltd.	SARS-COV-2 Nucleocapsid (N) Antigen Rapid Test (VIDA TEST Rapid Diagnostic Test)	N	0,00%	0,00%	0,00%	0,00%	n	n
AT400/20				I00053			Lionex GmbH	Lionex COVID-19 Ag Rapid Test	S	0,00%	0,00%	0,00%	0,00%	n	n
AT171/20				MICOG-502 (B2503)			Medicon Co., Ltd.	Trueline COVID-19 Ag Rapid Test	N+S	58,80%	4,30%	0,00%	22,00%	n	n
AT007/20				3011030			Mexacare GmbH Heidelberg	QuickTestCorona COVID-19 Antigen Schnelltest	N	52,90%	4,30%	0,00%	20,00%	n	n
AT470/20				243104D-20			nal von minden GmbH	dedicio Medical Test COVID-19 Ag plus Test	N	35,30%	0,00%	0,00%	12,00%	n	n
AT013/20				G61RHA20			RapiGEN, Inc.	Biocredit COVID-19 Ag		16,70%	0,00%	0,00%	6,00%	n	n
AT302/21				RCCOVAG			Redcell Bioteknoloji Anim Sirketi	COVID-19 Antigen Test	N	0,00%	0,00%	0,00%	0,00%	n	n
AT036/20				C34800-100			Servoprax GmbH	Cleartest Corona-Antigen		66,70%	0,00%	0,00%	24,00%	n	n
AT242/21				SG0010A			SG Diagnostics Pte Ltd	SG Diagnostics COVID-19 Antigen Rapid Test Kit (Colloidal Gold-Based)	N	50,00%	0,00%	0,00%	20,00%	n	n
AT932/21							ShanDong ThinkLabor Biotechnology Co.,Ltd.	Coronavirus Ag Schnelltest Kassette (Tupfer)	N	0,00%	0,00%	0,00%	0,00%	n	n
AT777/21							Shenzhen Landwind Biotechnology Co., Ltd.	Landwind SARS-CoV-2 Antigen Test Kit (Colloidal Gold)	N	55,00%	0,00%	0,00%	22,00%	n	n
AT225/20				SP-SW 106			Spring Healthcare Services Sp zoo	SARS-Cov-2 Antigen Rapid Test Cassette (swab)	N+S	29,40%	0,00%	0,00%	10,00%	n	n
AT186/20				COVID19AGVC			SureScreen Diagnostics Ltd.	COVID-19 Antigen Rapid Test Cassette	N	52,90%	0,00%	0,00%	18,00%	n	n
AT128/20							TaiDoc Technology Corporation	FORA COVID-19 ANTIGEN RAPID TEST	N	27,80%	0,00%	0,00%	10,00%	n	n
AT002/20				B25SY0E1L			Unioninvest	Unibioscience COVID-19 Rapid Antigen Test	N	0,00%	0,00%	0,00%	0,00%	n	n
AT315/21				VS200602			Vision Biyoteknologi Arastirma Gelistirme Labt. Sist. San ve Tic LTD STI	VISION® SARS-CoV-2 Saliva Antigen Rapid Test Kit	N	45,00%	10,00%	0,00%	22,00%	n	n
AT062/20				VCD05-01-011			VivaChek Biotech (Hangzhou) Co., Ltd.	VivaDiag SARS-CoV-2 Ag Rapid Test	N	50,00%	0,00%	0,00%	18,00%	n	n
AT294/20				VCD16-01-011			VivaChek Biotech (Hangzhou) Co., Ltd.	VivaDiag Pro SARS-CoV-2 Ag Rapid Test	N	64,70%	0,00%	0,00%	22,00%	n	n
AT218/20				FSSA-CK20			W.H.P.M, Inc.	First Sign SARS-CoV-2 Antigen Test	N	47,10%	0,00%	0,00%	16,00%	n	n
AT001/21							Xiamen Jiqing Biomedical Technology Co., Ltd.	Gruenbanka SARS-CoV-2 Antigen detection Kit (colloidal gold method)	N	25,00%	0,00%	0,00%	10,00%	n	n
AT012/21							Xiamen Zhongsheng Langjie Biotechnology Co., Ltd	Covid-19 Antigen Test Cassette	N	11,80%	0,00%	0,00%	4,00%	n	n
